tick,population,mean_h,median_h,births_interval,deaths_starvation_interval,deaths_collision_interval,food_count,kl_divergence
145600,29,5.7586,6.0,34,0,36,973,0.641366
145700,25,5.8000,6.0,36,0,40,975,0.767537
145800,32,5.7500,6.0,86,0,79,969,0.655704
145900,27,5.8519,6.0,89,0,94,975,0.804562
146000,13,5.7692,6.0,50,0,64,987,0.876553
146100,19,5.8947,6.0,17,0,11,981,0.876175
146200,30,5.7667,6.0,70,0,59,971,0.825311
146300,12,5.8333,6.0,19,0,37,988,0.985908
146400,12,5.8333,6.0,0,0,0,988,0.985908
146500,16,5.6875,6.0,22,0,18,986,1.047985
146600,13,5.7692,6.0,7,0,10,987,0.957212
146700,11,5.9091,6.0,45,0,47,990,1.009126
146800,15,5.7333,6.0,16,0,12,985,1.005536
146900,11,5.8182,6.0,1,0,5,989,0.923699
147000,9,5.7778,6.0,0,0,2,991,0.948999
147100,9,5.7778,6.0,0,0,0,991,0.948999
147200,9,5.7778,6.0,0,0,0,991,0.948999
147300,9,5.7778,6.0,0,0,0,991,0.948999
147400,9,5.7778,6.0,0,0,0,991,0.948999
147500,11,5.8182,6.0,3,0,1,989,0.971833
147600,11,5.8182,6.0,4,0,4,989,0.944889
147700,9,5.7778,6.0,0,0,2,991,0.982880
147800,9,5.7778,6.0,0,0,0,991,0.982880
147900,9,5.7778,6.0,0,0,0,991,0.982880
148000,9,5.7778,6.0,0,0,0,991,0.982880
148100,8,5.7500,6.0,0,0,1,992,0.988057
148200,8,5.7500,6.0,0,0,0,992,0.988057
148300,8,5.7500,6.0,0,0,0,992,0.988057
148400,8,5.7500,6.0,0,0,0,992,0.988057
148500,9,5.7778,6.0,1,0,0,991,0.988675
148600,9,5.7778,6.0,0,0,0,991,0.988675
148700,9,5.7778,6.0,0,0,0,991,0.988675
148800,9,5.7778,6.0,2,0,2,991,1.081640
148900,9,5.7778,6.0,0,0,0,991,1.081640
149000,9,5.7778,6.0,0,0,0,991,1.081640
149100,9,5.7778,6.0,0,0,0,991,1.081640
149200,9,5.8889,6.0,2,0,2,991,1.102885
149300,9,5.8889,6.0,2,0,2,991,1.090529
149400,9,5.8889,6.0,0,0,0,991,1.090529
149500,8,5.8750,6.0,0,0,1,992,1.083124
149600,8,5.8750,6.0,0,0,0,992,1.083124
149700,12,5.7500,6.0,22,0,18,989,0.982389
149800,36,5.6667,6.0,168,0,144,963,0.654032
149900,42,5.6905,6.0,193,0,187,945,0.662554
150000,45,5.7333,6.0,222,0,219,922,0.572573
150100,44,5.8182,6.0,200,0,201,906,0.422972
150200,49,5.6122,5.0,203,0,198,884,0.529278
150300,47,5.5106,5.0,184,0,186,925,0.440245
150400,44,5.6136,5.0,186,0,189,933,0.485635
150500,39,6.0000,6.0,195,0,200,925,0.483004
150600,60,5.7833,6.0,210,0,189,858,0.420661
150700,62,5.9032,6.0,180,0,178,832,0.409115
150800,65,5.3385,5.0,184,0,181,835,0.404735
150900,64,5.5312,5.0,184,0,185,867,0.403066
151000,55,5.6364,5.0,180,0,189,850,0.414912
151100,65,5.3692,5.0,181,0,171,849,0.441603
151200,61,5.7705,6.0,188,0,192,821,0.397730
151300,64,5.6875,5.5,158,0,155,853,0.385786
151400,46,5.4130,6.0,160,0,178,875,0.391337
151500,75,5.3600,5.0,202,0,173,830,0.358266
151600,74,5.3108,5.0,161,0,162,857,0.373349
151700,57,5.1404,5.0,167,0,184,861,0.367347
151800,61,5.4590,6.0,171,0,167,892,0.356450
151900,70,5.6143,6.0,189,0,180,820,0.380646
152000,67,5.1194,5.0,166,0,169,829,0.365300
152100,75,5.4267,5.0,163,0,155,851,0.387622
152200,75,5.4000,5.0,167,0,167,849,0.375200
152300,65,5.4000,5.0,162,0,172,844,0.372677
152400,74,5.5946,5.0,171,0,162,850,0.340285
152500,75,5.5067,5.0,159,0,158,845,0.351496
152600,60,5.4667,5.0,161,0,176,859,0.322355
152700,75,5.5333,5.0,185,0,170,820,0.351492
152800,74,5.3108,5.0,167,0,168,810,0.343997
152900,69,5.2464,5.0,166,0,171,794,0.330369
153000,88,5.4773,5.0,177,0,158,747,0.308103
153100,74,5.3108,5.0,146,0,160,768,0.312626
153200,79,4.9747,5.0,163,0,158,713,0.300046
153300,81,5.2099,5.0,156,1,153,740,0.328653
153400,75,4.9600,5.0,144,0,150,751,0.326612
153500,94,5.0745,5.0,152,0,133,732,0.319663
153600,72,5.3750,5.0,151,1,172,816,0.393801
153700,72,5.3611,5.0,163,0,163,802,0.429103
153800,71,4.9437,5.0,175,0,176,806,0.425170
153900,69,5.4058,5.0,166,0,168,801,0.406511
154000,59,5.3220,5.0,159,0,169,805,0.395836
154100,64,5.0938,5.0,166,0,161,816,0.342974
154200,62,5.4677,5.0,172,0,174,814,0.375947
154300,71,5.1972,5.0,168,0,159,803,0.371217
154400,67,4.8955,5.0,160,0,164,759,0.361025
154500,69,5.6087,5.0,153,1,150,830,0.336681
154600,75,5.1867,5.0,176,0,170,774,0.334627
154700,59,5.2881,5.0,147,0,163,829,0.394786
154800,73,5.4658,5.0,178,0,164,823,0.375756
154900,67,5.4179,5.0,146,0,152,871,0.397242
